:START_ID,:END_ID,:TYPE,quyền_và_nghĩa_vụ,theo_quy_định,theo_phần,cấp,phạm_vi,mục_đích,chính_sách,loại,quy_định,quyền,thẩm_quyền
quyền_và_nghĩa_vụ_người_sử_dụng_đất,VănBảnPhápLuật,liênQuanĐến,,,,,,,,,,,
nhà_nước,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
quốc_hội,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
ủy_ban_thường_vụ_quốc_hội,quyền_và_nghĩa_vụ_người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữuVềĐấtĐai,,,,,,,,,,,
phòng_hộ,đất_rừng_sản_xuất,liênQuanĐến,,,,,,,,,,,
luật,đất_rừng_sản_xuất,liênQuanĐến,,,,,,,,,,,
luật,giám_sát_việc_thi_hành_pháp_luật_về_đất_đai,liênQuanĐến,,,,,,,,,,,
chính_phủ,nhà_nước,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
ủy_ban_nhân_dân,nhà_nước,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,đất_rừng_sản_xuất,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,người_sử_dụng_đất,thựcHiệnQuyềnĐạiDiệnChủSởHữu,,,,,,,,,,,theo quy định của Luật
nhà_nước,người_sử_dụng_đất,thựcHiệnChínhSách,,,,,,,tạo điều kiện cho người trực tiếp sản xuất nông nghiệp không có đất sản xuất,,,,
người_sử_dụng_đất,giấy_chứng_nhận_quyền_sử_dụng_đất,đượcCấpBởi,,,,,,,,,,quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất,
người_sử_dụng_đất,bồi_thường_hỗ_trợ_tái_định_cư,thựcHiện,,,,,,,,,,thực hiện bồi thường, hỗ trợ, tái định cư,
người_sử_dụng_đất,hướng_dẫn,thực_hiện,,,,,,,,,,,
người_sử_dụng_đất,trợ_giúp_pháp_lý,thực_hiện,,,,,,,,,,,
người_sử_dụng_đất,cơ_sở_dữ_liệu_quốc_gia_đất_đai,thực_hiện,,,,,,,,,,,
đồng_bào_dân_tộc_thiểu_số,người_sử_dụng_đất,thuộc,,,,,,,,,,,
nhà_nước,đồng_bào_dân_tộc_thiểu_số,cóTráchNhiệmĐốiVới,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,đất_đai,liênQuanĐến,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,cá_nhân,liênQuanĐến,,,,,,,,,,,
văn_bản_chính_sách_hỗ_trợ_đất_đai,vùng_đồng_bào_dân_tộc_thiểu_số_và_miền_núi,liênQuanĐến,,,,,,,,,,,
